,mse
"{'function': 'poly', 'order': 6, 'Lambda': 5}",2.546503596157365
"{'function': 'poly', 'order': 6, 'Lambda': 2}",2.8584940823398335
"{'function': 'poly', 'order': 6, 'Lambda': 1}",3.029421197206625
"{'function': 'poly', 'order': 6, 'Lambda': 0.5}",3.27021751859715
"{'function': 'poly', 'order': 6, 'Lambda': 0.25}",3.4639481696801218
"{'function': 'poly', 'order': 6, 'Lambda': 0.1}",3.602710300900851
