,mse
"{'function': 'poly', 'order': 3, 'Lambda': 5}",2.5146520268309587
"{'function': 'poly', 'order': 3, 'Lambda': 2}",2.8700202601438103
"{'function': 'poly', 'order': 3, 'Lambda': 1}",3.0153744498214556
"{'function': 'poly', 'order': 3, 'Lambda': 0.5}",3.030335414267887
"{'function': 'poly', 'order': 3, 'Lambda': 0.25}",3.163496672896255
"{'function': 'poly', 'order': 3, 'Lambda': 0.1}",3.207243866944327
