,mse
"{'function': 'poly', 'order': 3, 'Lambda': 5}",2.629287561227239
"{'function': 'poly', 'order': 3, 'Lambda': 2}",2.7171417683144456
"{'function': 'poly', 'order': 3, 'Lambda': 1}",2.8139385647324313
"{'function': 'poly', 'order': 3, 'Lambda': 0.5}",2.9305755276889975
"{'function': 'poly', 'order': 3, 'Lambda': 0.25}",3.044117914228161
"{'function': 'poly', 'order': 3, 'Lambda': 0.1}",3.151227778761989
