,mse
"{'function': 'poly', 'order': 6, 'Lambda': 5}",2.485100679134529
"{'function': 'poly', 'order': 6, 'Lambda': 2}",2.623289520834727
"{'function': 'poly', 'order': 6, 'Lambda': 1}",2.7750768247293633
"{'function': 'poly', 'order': 6, 'Lambda': 0.5}",2.9469524127712545
"{'function': 'poly', 'order': 6, 'Lambda': 0.25}",3.1174674420813964
"{'function': 'poly', 'order': 6, 'Lambda': 0.1}",3.32071405381313
