,mse
"{'function': 'id', 'order': 1, 'Lambda': 5}",54.13875733921667
"{'function': 'id', 'order': 1, 'Lambda': 2}",62.78937777221826
"{'function': 'id', 'order': 1, 'Lambda': 1}",69.49334135302784
"{'function': 'id', 'order': 1, 'Lambda': 0.5}",77.10344646518863
"{'function': 'id', 'order': 1, 'Lambda': 0.25}",81.58406731233822
"{'function': 'id', 'order': 1, 'Lambda': 0.1}",85.34254019378233
