,mse
LASSO,"[2.4644611457388845, 1.2564684233567922]"
RLS,"[2.618733922241788, 1.2824328557328595]"
BR,"[2.618733922241788, 1.2824328557328595]"
LS,"[3.1028380141340453, 1.3584435211464778]"
RR,"[3.1189971189628811, 1.364567082152399]"
